DESCRIPTION,FAMILY_ID,Loblolly pine,Sugar pine,Norway spruce,Douglas-fir
OG0000568,493,0,0,1,9
OG0000569,494,2,3,4,7
OG0000570,495,3,3,3,2
OG0000571,496,3,9,1,1
OG0000572,497,2,12,2,1
OG0000573,498,3,3,10,1
OG0000574,499,2,6,1,5
OG0000575,500,8,2,7,2
OG0000576,501,3,2,1,1
OG0000577,502,4,4,7,4
OG0000578,503,5,6,1,1
OG0000579,504,3,5,3,1
OG0000580,505,5,3,5,5
OG0000581,506,1,1,2,1
OG0000582,507,2,3,2,1
OG0000583,508,7,5,1,7
OG0000584,509,12,1,3,1
OG0000585,510,4,3,5,1
OG0000586,511,4,5,4,7
OG0000587,512,5,0,1,10
OG0000588,513,8,2,1,3
OG0000589,514,3,4,4,10
OG0000590,515,3,2,4,3
OG0000591,516,9,7,1,2
OG0000592,517,4,1,4,6
OG0000593,518,0,16,3,1
OG0000594,519,7,1,1,2
OG0000595,520,6,1,4,1
OG0000596,521,2,7,2,1
OG0000597,522,9,4,5,3
OG0000598,523,4,5,1,5
OG0000599,524,7,4,3,1
OG0000601,525,5,6,3,1
OG0000602,526,5,7,4,3
OG0000603,527,5,8,3,4
OG0000604,528,3,2,1,11
OG0000605,529,5,8,2,6
OG0000607,530,9,6,3,3
OG0000608,531,13,2,1,2
OG0000609,532,9,8,1,3
OG0000610,533,9,3,2,2
OG0000611,534,9,8,3,1
OG0000612,535,4,6,2,8
OG0000613,536,1,4,3,4
OG0000614,537,6,10,1,3
OG0000615,538,2,2,1,16
OG0000616,539,1,9,0,1
OG0000618,540,1,2,0,12
OG0000619,541,1,11,0,1
OG0000623,542,1,19,0,1
OG0000625,543,6,5,6,1
OG0000626,544,1,6,4,1
OG0000627,545,5,1,3,5
OG0000628,546,3,4,1,11
OG0000629,547,4,2,3,1
OG0000630,548,11,2,3,2
OG0000632,549,2,3,6,1
OG0000634,550,4,1,6,2
OG0000635,551,2,1,4,2
OG0000636,552,1,16,1,1
OG0000637,553,7,0,8,1
OG0000638,554,7,2,4,1
OG0000639,555,1,6,2,3
OG0000640,556,2,3,1,1
OG0000641,557,3,4,6,1
OG0000643,558,5,2,6,1
OG0000644,559,0,3,2,15
OG0000645,560,1,7,2,1
OG0000646,561,1,8,2,1
OG0000647,562,9,3,2,1
OG0000648,563,1,2,2,1
OG0000649,564,9,4,4,3
OG0000650,565,0,12,1,2
OG0000651,566,2,2,4,11
OG0000652,567,1,3,1,12
OG0000653,568,1,8,1,1
OG0000654,569,6,1,9,1
OG0000655,570,7,6,4,1
OG0000657,571,4,2,3,1
OG0000658,572,5,6,2,4
OG0000659,573,5,1,11,2
OG0000660,574,1,13,1,4
OG0000661,575,2,8,4,1
OG0000662,576,1,16,2,1
OG0000663,577,7,2,2,2
OG0000664,578,1,2,8,1
OG0000665,579,2,6,1,1
OG0000666,580,1,4,5,2
OG0000667,581,5,5,2,2
OG0000668,582,2,8,4,1
OG0000670,583,3,4,3,1
OG0000671,584,4,3,4,1
OG0000672,585,4,12,2,2
OG0000673,586,6,3,2,9
OG0000674,587,0,2,1,3
OG0000676,588,1,2,2,9
OG0000677,589,5,3,3,9
OG0000678,590,1,1,2,8
OG0000679,591,6,6,5,1
OG0000680,592,7,5,1,3
OG0000681,593,2,2,1,9
OG0000682,594,11,1,1,3
OG0000683,595,5,7,3,5
OG0000684,596,1,15,1,3
OG0000685,597,8,1,3,1
OG0000686,598,4,7,4,5
OG0000687,599,6,9,3,1
OG0000688,600,3,4,2,5
OG0000689,601,2,14,2,1
OG0000690,602,1,1,2,7
OG0000691,603,5,5,4,1
OG0000692,604,7,1,2,10
OG0000693,605,5,1,2,3
OG0000694,606,3,5,5,7
OG0000695,607,5,2,2,10
OG0000696,608,12,4,1,2
OG0000697,609,4,5,3,4
OG0000698,610,1,1,1,8
OG0000699,611,2,5,0,2
OG0000700,612,11,4,0,1
OG0000701,613,2,6,0,2
OG0000705,616,1,6,2,9
OG0000706,617,3,2,5,1
OG0000707,618,6,5,2,6
OG0000708,619,1,3,5,1
OG0000709,620,3,3,1,5
OG0000710,621,3,6,1,8
OG0000711,622,9,4,3,2
OG0000712,623,7,0,1,1
OG0000713,624,3,3,7,2
OG0000714,625,2,2,2,9
OG0000716,626,6,4,3,4
OG0000717,627,4,5,1,4
OG0000718,628,5,3,2,2
OG0000719,629,0,16,1,2
OG0000720,630,0,12,1,1
OG0000722,631,7,2,5,4
OG0000723,632,0,10,2,2
OG0000724,633,5,1,3,1
OG0000725,634,1,1,1,1
OG0000726,635,4,7,2,3
OG0000727,636,8,1,2,1
OG0000728,637,6,2,2,2
OG0000729,638,3,2,2,2
OG0000730,639,2,1,1,15
OG0000732,640,1,8,3,1
OG0000733,641,9,2,6,2
OG0000734,642,2,1,4,2
OG0000735,643,3,4,8,4
OG0000737,644,2,5,2,1
OG0000738,645,3,1,2,3
OG0000741,646,5,1,5,1
OG0000742,647,2,4,5,1
OG0000743,648,0,0,3,15
OG0000744,649,4,7,3,3
