DESCRIPTION,FAMILY_ID,Arabidopsis,Cacao,Peach,Castor bean,Cassava,Poplar,Rice,Brachypodium,Sorghum,Setaria,Banana,Loblolly pine,Sugar pine,Norway spruce,Douglas-fir,Moss
OG0000700,217,4,6,5,5,6,10,7,6,8,7,7,6,6,4,4,2
OG0000701,218,5,5,6,6,8,6,5,5,6,6,2,8,7,7,4,3
OG0000702,219,3,5,9,4,6,11,4,4,5,7,6,7,7,3,4,0
OG0000703,220,3,6,6,3,5,4,6,5,4,4,7,2,4,5,4,1
OG0000707,221,4,3,3,2,4,3,6,4,3,3,12,7,5,5,5,0
OG0000708,222,5,5,5,3,5,7,6,7,7,8,7,4,5,5,8,5
OG0000709,223,4,4,3,3,5,5,2,2,3,2,3,4,9,8,5,9
OG0000710,224,7,7,6,5,8,13,6,11,7,7,4,1,1,1,2,1
OG0000711,225,4,5,5,5,7,10,5,5,4,6,8,6,5,4,5,2
OG0000712,226,9,5,6,5,6,10,6,5,6,5,12,3,4,2,3,3
OG0000713,227,6,5,4,3,3,6,6,6,9,7,5,4,13,2,5,0
OG0000714,228,5,5,4,4,7,8,5,5,5,5,8,3,3,4,2,7
OG0000715,229,3,2,4,2,3,3,7,5,10,7,9,3,7,2,4,3
OG0000716,230,5,5,5,5,9,9,5,5,4,4,10,5,6,7,8,0
OG0000717,231,4,4,4,3,5,8,5,5,5,5,15,3,3,3,3,7
OG0000718,232,4,4,5,5,7,6,3,3,4,4,3,9,1,6,5,6
OG0000719,233,2,4,3,3,6,7,8,9,9,7,12,6,3,6,4,2
OG0000723,234,3,4,3,3,6,6,5,6,7,6,6,11,7,8,3,0
OG0000724,235,5,4,5,3,7,6,6,5,6,6,12,2,2,2,4,7
OG0000725,236,5,5,5,6,8,11,7,7,6,5,13,3,4,3,4,0
OG0000726,237,3,2,1,2,2,3,6,4,4,2,7,12,5,3,4,4
OG0000727,238,5,7,4,7,10,5,5,6,5,4,6,8,9,4,5,1
OG0000728,239,9,4,3,3,4,4,6,13,8,11,2,1,1,2,1,3
OG0000729,240,4,4,4,3,5,6,5,4,4,4,6,3,16,4,5,3
OG0000730,241,2,7,8,4,4,13,4,4,3,3,6,7,4,5,8,1
OG0000733,242,1,6,3,4,8,5,9,11,6,7,5,1,6,6,10,4
OG0000738,243,5,4,7,5,7,8,8,4,6,6,1,2,4,3,4,2
OG0000739,244,7,4,4,5,9,5,4,4,6,5,13,4,7,7,1,2
OG0000741,245,3,6,9,6,9,10,7,8,7,7,6,5,1,2,0,6
OG0000742,246,3,9,8,6,7,9,5,7,8,6,4,6,3,4,1,2
OG0000743,247,6,5,3,5,6,6,4,4,4,4,9,3,7,4,7,5
OG0000745,248,5,5,4,5,8,9,5,6,5,5,8,3,5,3,5,3
OG0000747,249,1,5,3,4,6,5,6,4,8,8,1,4,7,4,12,4
OG0000748,250,7,6,5,5,9,11,5,6,6,5,8,2,3,4,3,1
OG0000749,251,15,4,3,4,5,4,10,9,10,10,2,1,3,3,1,1
OG0000750,252,12,12,7,9,9,10,6,4,6,6,1,1,1,3,1,2
OG0000751,253,6,5,6,5,10,10,5,5,5,5,11,3,3,3,3,2
OG0000758,254,5,6,5,7,7,9,2,0,1,1,6,7,4,4,9,2
OG0000759,255,10,6,7,5,8,9,4,4,5,3,5,4,6,2,2,3
OG0000760,256,3,4,3,3,5,2,6,4,3,3,2,1,4,3,3,6
OG0000761,257,10,3,3,4,4,3,2,2,2,2,9,3,8,7,8,1
OG0000762,258,8,6,6,5,8,9,7,7,7,7,8,2,2,2,2,5
OG0000763,259,3,4,4,2,4,6,4,4,4,4,4,7,7,6,7,4
OG0000764,260,4,3,3,6,1,7,5,5,4,4,5,7,7,5,4,3
OG0000765,261,4,5,5,4,8,8,5,5,5,5,9,2,6,8,1,7
OG0000766,262,2,3,4,4,5,7,4,4,5,5,5,7,9,3,4,10
OG0000768,263,6,3,7,2,4,5,5,7,7,7,5,6,6,5,4,2
OG0000770,264,3,5,4,5,6,8,2,3,3,2,4,5,0,19,6,4
OG0000772,265,0,4,6,4,5,6,4,3,4,5,1,11,10,7,2,0
OG0000775,266,6,4,5,3,8,8,5,4,4,5,10,4,4,3,1,9
OG0000777,267,5,6,5,5,7,10,6,5,7,7,10,2,4,2,3,0
OG0000778,268,5,1,3,4,5,5,4,4,5,3,6,12,4,4,5,2
OG0000779,269,3,3,4,3,3,4,1,6,4,5,2,3,1,4,2,2
OG0000783,270,8,5,5,4,9,9,5,5,5,5,12,2,2,1,2,5
